Date,Comment,CF,SPAN,REP_RATE,POWER,Start Power (I0),End Power (I),Time Interval,SAMPLINGS_NUMBER,Concetration,Concetration (ppm),Wavelength
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,0,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,78.56MHz,6,True,True,1,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,78.56MHz,6,True,True,2,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,3,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,78.56MHz,6,True,True,4,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,78.56MHz,6,True,True,5,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,0,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,78.56MHz,8,True,True,1,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,78.56MHz,8,True,True,2,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,3,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,78.56MHz,8,True,True,4,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,78.56MHz,8,True,True,5,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,0,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,78.56MHz,10,True,True,1,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,78.56MHz,10,True,True,2,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,3,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,78.56MHz,10,True,True,4,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,78.56MHz,10,True,True,5,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,0,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,2.311MHz,6,True,True,1,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,2.311MHz,6,True,True,2,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,3,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,2.311MHz,6,True,True,4,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,2.311MHz,6,True,True,5,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,0,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,2.311MHz,8,True,True,1,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,2.311MHz,8,True,True,2,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,3,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,2.311MHz,8,True,True,4,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,2.311MHz,8,True,True,5,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,0,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,2.311MHz,10,True,True,1,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,2.311MHz,10,True,True,2,2,-inf,-inf,1524.975
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,3,2,-inf,-inf,1524.975
2023_04_19_16_54_08_096190,,1500,50,2.311MHz,10,True,True,4,2,-inf,-inf,1524.975
2023_04_19_16_54_39_250594,,1500,50,2.311MHz,10,True,True,5,2,-inf,-inf,1524.975
